name,tags
goa,"winter,adventure,sightseeing,beaches,solo,romantic,friends"
andaman,"winter,adventure,sightseeing,beaches,romantic,family,friends"
himachal,"winter,summer,adventure,sightseeing,mountains,romantic,family,friends"
rajasthan,"winter,sightseeing,solo,family,friends"
uttarakhand,"winter,summer,adventure,sightseeing,mountains,romantic,family,friends"
kashmir,"summer,adventure,sightseeing,mountains,romantic,family"
ladakh,"summer,adventure,mountains,solo,friends"
tamil nadu,"winter,sightseeing,beaches,solo,family"
ooty,"winter,summer,sightseeing,mountains,romantic,family,friends"
sikkim,"summer,adventure,sightseeing,mountains,family,friends"
darjeeling,"winter,summer,monsoon,sightseeing,mountains,romantic,family,friends"
gujarat,"winter,sightseeing,family"
delhi,"winter,monsoon,sightseeing,family"
meghalaya,"winter,summer,monsoon,adventure,sightseeing,mountains,solo,romantic,friends"
madhya pradesh,"winter,monsoon,sightseeing,family"
punjab,"winter,monsoon,sightseeing,family"
hyderabad,"winter,monsoon,family"
jodhpur,"winter,sightseeing,solo,family,friends"
varanasi,"winter,sightseeing,family"
orrisa,"winter,summer,sightseeing,beaches,family"
pondicherry,"winter,monsoon,sightseeing,beaches,solo,romantic,family,friends"
kerala,"winter,sightseeing,beaches,mountains,solo,romantic,family,friends"
kanyakumari,"winter,adventure,sightseeing,beaches,family"
srinagar,"summer,monsoon,sightseeing,mountains,romantic,family,friends"
Arunachal Pradesh,"monsoon,sightseeing,mountains,solo,romantic,family,friends"
Assam,"winter,sightseeing,mountains,solo,family"
Chattisgarh,"winter,summer,sightseeing,mountains,solo,family"
Karnataka,"winter,monsoon,adventure,sightseeing,beaches,mountains,solo,romantic,family,friends"
Mumbai,"winter,sightseeing,beaches,family,friends,monsoon"
kutch,"winter,monsoon,adventure,sightseeing,solo,romantic,family"
