name,tags
goa,"winter,adventure,sightseeing,relaxation,beaches,solo,romantic,friends"
andaman,"winter,adventure,sightseeing,relaxation,beaches,romantic,family,friends"
shimla,"winter,summer,adventure,sightseeing,mountains,romantic,family,friends"
manali,"winter,summer,adventure,sightseeing,mountains,romantic,family,friends"
dalhousie,"winter,summer,adventure,sightseeing,mountains,romantic,family,friends"
dharamshala,"winter,summer,adventure,sightseeing,mountains,romantic,family,friends"
jaipur,"winter,sightseeing,solo,family,friends"
jaisalmer,"winter,sightseeing,solo,family,friends"
udaipur,"winter,sightseeing,solo,family,friends"
jodhpur,"winter,sightseeing,solo,family,friends"
dehradun,"winter,summer,adventure,sightseeing,relaxation,mountains,romantic,family,friends"
haridwar,"winter,summer,adventure,sightseeing,relaxation,mountains,romantic,family,friends"
nainital,"winter,summer,adventure,sightseeing,relaxation,mountains,romantic,family,friends"
rishikesh,"winter,summer,adventure,sightseeing,relaxation,mountains,romantic,family,friends"
mussoorie,"winter,summer,adventure,sightseeing,relaxation,mountains,romantic,family,friends"
srinagar,"summer,adventure,sightseeing,mountains,romantic,family"
gulmarg,"summer,adventure,sightseeing,mountains,romantic,family"
leh,"summer,adventure,sightseeing,mountains,romantic,family"
ladakh,"summer,adventure,mountains,solo,friends"
chennai,"winter,sightseeing,beaches,solo,family"
madurai,"winter,sightseeing,beaches,solo,family"
coimbatore,"winter,sightseeing,beaches,solo,family"
ooty,"winter,sightseeing,solo,family,mountains"
gangtok,"summer,adventure,sightseeing,mountains,family,friends"
namchi,"summer,adventure,sightseeing,mountains,family,friends"
darjeeling,"winter,summer,monsoon,sightseeing,relaxation,mountains,romantic,family,friends"
ahmedabad,"winter,sightseeing,family"
surat,"winter,sightseeing,family"
vadodara,"winter,sightseeing,family"
delhi,"winter,monsoon,sightseeing,family"
guwahati,"winter,summer,monsoon,adventure,sightseeing,mountains,solo,romantic,friends"
shillong,"winter,summer,monsoon,adventure,sightseeing,mountains,solo,romantic,friends"
cherrapunji,"winter,summer,monsoon,adventure,sightseeing,mountains,solo,romantic,friends"
bhopal,"winter,monsoon,sightseeing,family"
indore,"winter,monsoon,sightseeing,family"
jabalpur,"winter,monsoon,sightseeing,family"
gwalior,"winter,monsoon,sightseeing,family"
ooty,"winter,monsoon,sightseeing,family"
amritsar,"winter,monsoon,sightseeing,family"
jalandar,"winter,monsoon,sightseeing,family"
ludhiana,"winter,monsoon,sightseeing,family"
patiala,"winter,monsoon,sightseeing,family"
chandigarh,"winter,monsoon,sightseeing,family"
hyderabad,"winter,monsoon,family"
varanasi,"winter,sightseeing,family"
orissa,"winter,summer,sightseeing,beaches,family"
pondicherry,"winter,monsoon,sightseeing,relaxation,beaches,solo,romantic,family,friends"
trivandrum,"winter,sightseeing,relaxation,beaches,mountains,solo,romantic,family,friends"
kochi,"winter,sightseeing,relaxation,beaches,mountains,solo,romantic,family,friends"
kozhikode,"winter,sightseeing,relaxation,beaches,mountains,solo,romantic,family,friends"
alappuzha,"winter,sightseeing,relaxation,beaches,mountains,solo,romantic,family,friends"
munnar,"winter,sightseeing,relaxation,mountains,solo,romantic,family,friends"
kanyakumari,"winter,adventure,sightseeing,beaches,family"
arunachal Pradesh,"monsoon,sightseeing,mountains,solo,romantic,family,friends"
chattisgarh,"winter,summer,sightseeing,mountains,solo,family"
mumbai,"winter,sightseeing,beaches,family,friends,monsoon"
bangalore,"winter,monsoon,sightseeing,solo,family,friends"
mangalore,"winter,monsoon,adventure,sightseeing,beaches,mountains,solo,romantic,family,friends"
